code,authors,year,title,main_topic,geo,deduced or present,tags,measures_all,age_group,langs,procedure,long_cross,n,notes,n_bboys,n_bgirls,n_mboys,n_mgirls,n_boys,n_girls,n_mono,n_bi,attrition(n),% dropped,instrument (for eye tracker studies or brain imagining),methodology or paradigm,online/offline coding,DV,lab_home,age_low,age_max,age_mean,age_SD,bi_def_present,do they describe the %,mono range (L1),bi range (L2),mono_definition,mono_def_present,mono_concept,bi_definition,mono_cutoff,bi_cutoff,modified version,bi_measure,family_bi_measure,concept,bi_measure_more,cum/curr,adm_lang_quest,#study,"if comparing, diff?",results_mono,results_bi,results_other,Data collection,osf?,contact info,citation
74,"Fennell, Christopher T

Byers-Heinlein, Krista

Werker, Janet F",2007,Using speech sounds to guide word learning: The case of bilingual infants. [References].,phoneme discrimination,"Vancouver, Canada",present,"speech sounds, word learning, bilingual infants, language acquisition, cognitive load","*Bilingualism

*Infant Development

*Language Development

*Speech Perception

*Verbal Learning

Human Channel Capacity

Words (Phonetic Units)

Native Language

Association Learning

Attention

Female

Humans

Infant

Language Development

Male

Multilingualism

Pattern Recognition, Visual

Phonetics

Speech Perception

Verbal Learning

Vocabulary","14mo, 17mo, & 20mo",ENG-FRN & ENG-CHI,,cross,53,28 CHI-ENG from expt2+ 11 from EXPT 1; 25 FRN-ENG from EXPT2 + 9 from EXPT1,idk,idk,0,0,idk,idk,0,53,24,31.17%,Habit 2000 software,manual looking time,offline,average looking time,lab,"17mo = 17:14 , 20mo= 20:06","17mo = 18:10 , 20mo= 21:5","17mo = 17:17, 20mo= 20:19",idk,yes,yes,999,idk,not present (published in another paper),not present,idk,﻿were considered bilingual if they had a maximum of 75% exposure to one language and a minimum exposure of 25% to their other language,999,25,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,2,999,999,"﻿As a group, the infants in this study were not able to use phonetic detail to guide word learning. There was also no main effect of language or interaction between language and test trial. Thus, it appears that the non-English language of the bilingual did not have a language-specific impact on the use of English con- sonants in word learning",999,idk,no,"Fennell, Christopher T.: fennell@uottawa.ca","Fennell, C. T., Byers-Heinlein, K., & Werker, J. F. (2007). Using speech sounds to guide word learning: The case of bilingual infants. Child Development, 78(5), 1510–1525. https://doi.org/10.1111/j.1467-8624.2007.01080.x"
75,"Burns, Tracey C

Yoshida, Katherine A

Hill, Karen

Werker, Janet F",2007,The development of phonetic representation in bilingual and monolingual infants. [References].,phoneme discrimination,"Vancouver, Canada",present,"native language, phonetic representations, bilingual infants, monolingual infants, infant vocalization","*Bilingualism

*Infant Vocalization

*Monolingualism

*Phonetics

*Native Language

Speech Perception",6mo-8mo,ENG-FRN,,one time,19,999,idk,idk,idk,idk,idk,idk,10,9,idk,idk,999,manual looking time,online,average looking time,lab,"mono = 6mo, bilingual = 5:13mo","mono = 7:24mo, bilingual = 9","mono = 6:23mo, bilingual = 7:12",idk,yes,no,999,999,infants who are being raised in a monolingual environment and,y,caregivers status,﻿infants who are being raised in a bilingual environment and,none,idk,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,1,no,no differences,﻿no observed dif- ferences in discrimination between the monolingual and bilingual infant,999,idk,no,"Burns, Tracey C.: tracey.burns@oecd.org","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007). The development of phonetic representation in bilingual and monolingual infants. Applied Psycholinguistics, 28(3), 455–474. https://doi.org/10.1017/S0142716407070257"
75,"Burns, Tracey C

Yoshida, Katherine A

Hill, Karen

Werker, Janet F",2007,The development of phonetic representation in bilingual and monolingual infants. [References].,phoneme discrimination,"Vancouver, Canada",present,"native language, phonetic representations, bilingual infants, monolingual infants, infant vocalization","*Bilingualism

*Infant Vocalization

*Monolingualism

*Phonetics

*Native Language

Speech Perception",14mo-20mo,ENG-FRN,,one time,20,999,idk,idk,idk,idk,idk,idk,8,12,idk,idk,999,manual looking time,online,average looking time,lab,"mono = 13:2mo, bilingual = 13:9mo","mono = 19mo, bilingual = 20","mono = 15mo, bilingual = 14:7",idk,yes,no,999,999,infants who are being raised in a monolingual environment and,y,caregivers status,﻿infants who are being raised in a bilingual environment and,none,idk,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,2,yes,"﻿English monolingual infants in this age range discriminated only one test trial, the one corresponding to the English boundary. The discrimination of these infants reflected effects of language experience, compared to the 6- to 8-month-olds who had initially discriminated in a manner consistent with the French boundary","﻿the bilingual infants showed significant recovery in looking time to both test trials, indicating sensitivity to phonetic boundaries consistent with both English and French native representations. This",﻿by 14–20 months both the monolinguals and the bilingual infants succeeded in displaying discrimination consistent with the ambient language input.,idk,no,"Burns, Tracey C.: tracey.burns@oecd.org","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007). The development of phonetic representation in bilingual and monolingual infants. Applied Psycholinguistics, 28(3), 455–474. https://doi.org/10.1017/S0142716407070257"
75,"Burns, Tracey C

Yoshida, Katherine A

Hill, Karen

Werker, Janet F",2007,The development of phonetic representation in bilingual and monolingual infants. [References].,phoneme discrimination,"Vancouver, Canada",present,"native language, phonetic representations, bilingual infants, monolingual infants, infant vocalization","*Bilingualism

*Infant Vocalization

*Monolingualism

*Phonetics

*Native Language

Speech Perception",10mo-12mo,ENG-FRN,,one time,32,999,idk,idk,idk,idk,idk,idk,14,18,idk,idk,999,manual looking time,online,average looking time,lab,"mono = 9:19mo, bilingual = 10:8mo","mono = 11:27mo, bilingual = 12:5","mono = 10:28mo, bilingual = 11:2",idk,yes,no,999,999,infants who are being raised in a monolingual environment and,y,caregivers status,﻿infants who are being raised in a bilingual environment and,none,idk,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,3,yes,"﻿English monolingual infants in this age range discriminated only one test trial, the one corresponding to the English boundary. ","﻿the bilingual infants showed significant recovery in looking time to both test trials, indicating sensitivity to phonetic boundaries consistent with both English and French native representations.",﻿by 10-12 months both the monolinguals and the bilingual infants succeeded in displaying discrimination consistent with the ambient language input.,idk,no,"Burns, Tracey C.: tracey.burns@oecd.org","Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007). The development of phonetic representation in bilingual and monolingual infants. Applied Psycholinguistics, 28(3), 455–474. https://doi.org/10.1017/S0142716407070257"
76,"Byers-Heinlein, Krista

Werker, Janet F",2013,Lexicon structure and the disambiguation of novel words: Evidence from bilingual infants. [References].,mutual exclusivity,"Vancouver, Canada",present,"novel words, bilingual infants, lexicon structure, comprehension vocabularies","*Bilingualism

*Infant Development

*Verbal Comprehension

*Mental Lexicon

Vocabulary

Word Meaning

Female

Humans

Infant

Language

Language Development

Male

Multilingualism

Verbal Learning

Vocabulary",16mo-18mo,ENG-CHI,,one time,20,999,8,12,0,0,8,12,0,20,8,28.57%,Tobii 1750 eye tracking system,eye tracking,online,average looking time,lab,17:17,18:12,17:27,idk,yes,yes,999,English 27–75% and Chinese 25–73%,999,999,999,"bilingual infants learning English and Chinese (either Cantonese or Mandarin). ﻿All infants came from homes where English and Chinese
had been spoken regularly since the infant was born.",999,idk,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,idk,1,999,999,"﻿As a group, bilingual infants did not show a significant tendency to dis- ambiguate the novel noun, replicating previous results (Byers-Heinlein & Werker, 2009; Houston-Price et al., 2010). However, as predicted, bilingual infants’ perfor- mance was not homogeneous. Those infants whose vocab- ularies contained a smaller proportion of translation equivalents (<50%; low-overlap group whose lexicons had primarily a one-to-one structure) disambiguated the referent of the novel noun, while those whose vocabularies contained a larger proportion of translation equivalents (>50%; high-overlap group whose lexicons had primarily a many-to-one structure) did not.",999,idk,no,"Byers-Heinlein, Krista: k.byers@concordia.ca; Werker, Janet F.: jwerker@psych.ubc.ca","Byers-Heinlein, K., & Werker, J. F. (2013). Lexicon structure and the disambiguation of novel words: Evidence from bilingual infants. Cognition, 128(3), 407–416. https://doi.org/10.1016/j.cognition.2013.05.010"
77,"Byers-Heinlein, Krista

Fennell, Christopher T

Werker, Janet F",2013,The development of associative word learning in monolingual and bilingual infants. [References].,Word learning,idk,not present,"bilingual experiences, monolingual infants, linguistic environment, word learning, lexical acquisition","*Bilingualism

*Infant Development

*Language Development

*Linguistics

*Monolingualism

Lexical Access

Vocabulary",12mo & 14mo,ENG-X,,cross,98,"two age groups 12,14mo for each lang group",24,24,26,24,50,48,50,48,36,26.87%,Habit 2000 software,eye tracking,offline,average looking time,lab,"12mo = 11:22, 14mo=13:27","12mo = 13:8, 14mo=15:8","12mo = 12:17, 14mo=14:17",idk,yes,yes,not present,,"English-speaking homes, and had not been regularly exposed to a non-English language",y,caregivers status,﻿Bilinguals came from homes where English as well as another language had been spoken regularly since birth. Between 25 and 75% for each language,idk,25,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,idk,1,no,both mono and bilinguals did not differ during switching trial at 12 mo,"﻿like their monolingual peers, 14-month-old bilinguals learned the two word–object pairings, demonstrated by longer looking in the Switch trial than in the Same trial.","﻿marginally significant main effect of language background, F(1,46) = 3.19, p = .081, η2 p=.065, reflecting that 12-month-old bilinguals tended to look longer across both types of test trials than did monolinguals.",idk,no,"Byers-Heinlein, Krista: k.byers@concordia.ca","Byers-Heinlein, K., Fennell, C. T., & Werker, J. F. (2013). The development of associative word learning in monolingual and bilingual infants. Bilingualism, 16(1), 198–205. https://doi.org/10.1017/S1366728912000417"
78,"Byers-Heinlein, Krista

Burns, Tracey C

Werker, Janet F",2010,The roots of bilingualism in newborns. [References].,language preference,"vancouver, Canada",present,"bilingualism, language discrimination, newborns, Tagalog-English bilinguals, monolinugal English, Chinese-English bilinguals","*Bilingualism

*Language Development

*Neonatal Development

Choice Behavior

Female

Humans

Infant, Newborn

Language Development

Male

Multilingualism

Pregnancy

Psycholinguistics

Recognition (Psychology)

Social Environment

Speech Perception",0-5days,ENG-Tagalog,,one time,30,999,idk,idk,idk,idk,idk,idk,15,15,28,48.28%,999,sucking preference,999,﻿average number of high-amplitude sucks produced during Tagalog minutes minus those produced during English minutes (see,hospital,0days,5days,idk,idk,yes,yes,idk,30-70%,English background,y,caregivers status,English-Tagalog Background ,idk,none,999,no specified,no,caregivers status,mom only,idk,idk,1a,yes,English monolingual newborns were less interested in Tagalog than in English,Tagalog bilinguals were similarly interested in their two native languages. Bilinguals’ attention to both languages is consistent with their having learned about two languages prenatally,999,idk,no,"Werker, Janet F.: jwerker@psych.ubc.ca","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343–348. https://doi.org/10.1177/0956797609360758"
78,"Byers-Heinlein, Krista

Burns, Tracey C

Werker, Janet F",2010,The roots of bilingualism in newborns. [References].,language preference,"vancouver, Canada",present,"bilingualism, language discrimination, newborns, Tagalog-English bilinguals, monolinugal English, Chinese-English bilinguals","*Bilingualism

*Language Development

*Neonatal Development

Choice Behavior

Female

Humans

Infant, Newborn

Language Development

Male

Multilingualism

Pregnancy

Psycholinguistics

Recognition (Psychology)

Social Environment

Speech Perception",newborn,ENG-CHI,,one time,14,999,idk,idk,idk,idk,idk,idk,0,14,0,0.00%,999,sucking preference,999,﻿average number of high-amplitude sucks produced during Tagalog minutes minus those produced during English minutes (see,hospital,idk,idk,idk,idk,yes,no,idk,idk,999,999,999,English-Chinese background(Mandarin or Cantonese),999,none,999,no specified,no,caregivers status,mom only,idk,idk,1b,yes,﻿their interest in Tagalog relative to English was greater than that of English monolinguals,﻿Chinese bilingual neonates did not show an outright preference for either English or Tagalog,"﻿relative to their interest in English, Chinese bilingual infants were less interested in Tagalog than were Tagalog bilingual infants",idk,no,"Werker, Janet F.: jwerker@psych.ubc.ca","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343–348. https://doi.org/10.1177/0956797609360758"
78,"Byers-Heinlein, Krista

Burns, Tracey C

Werker, Janet F",2010,The roots of bilingualism in newborns. [References].,language discrimination,"vancouver, Canada",present,"bilingualism, language discrimination, newborns, Tagalog-English bilinguals, monolinugal English, Chinese-English bilinguals","*Bilingualism

*Language Development

*Neonatal Development

Choice Behavior

Female

Humans

Infant, Newborn

Language Development

Male

Multilingualism

Pregnancy

Psycholinguistics

Recognition (Psychology)

Social Environment

Speech Perception",newborn,ENG-Tagalog,,one time,32,16 extra monolinguals were control,idk,idk,idk,idk,idk,idk,16,16,87,64.44%,999,high-amplitude sucking habituation procedure,999,﻿average number of high-amplitude sucks produced during Tagalog minutes minus those produced during English minutes (see,hospital,idk,idk,idk,idk,yes,no,idk,idk,English background,y,caregivers status,English-Tagalog Background ,idk,none,999,no specified,no,caregivers status,mom only,idk,idk,2,no,﻿Both English monolingual and Tagalog bilingual ifants dis- criminated between the two languages ,no difference in the discrimination performance dispite they prefered both lang similarly,999,idk,no,"Werker, Janet F.: jwerker@psych.ubc.ca","Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343–348. https://doi.org/10.1177/0956797609360758"
79,"Byers-Heinlein, Krista

Werker, Janet F",2009,"Monolingual, bilingual, trilingual: Infants' language experience influences the development of a word-learning heuristic. [References].",mutual exclusivity,idk,not present,"monolingual, bilingual, trilingual, infants language experience, word-learning heuristic, language acquisition","*Bilingualism

*Heuristics

*Language Development

*Monolingualism

*Vocabulary

Analysis of Variance

Child Development

Concept Formation

Female

Humans

Infant

Language Development

Male

Multilingualism

Paired-Associate Learning

Pattern Recognition, Visual

Photic Stimulation

Psycholinguistics

Verbal Learning

Vocabulary",17mo-18mo,ENG-X,,one time,32,There was also 16 kids in a trilingual group,8,8,8,8,16,16,16,16,11,18.64%,Tobii 1750 eye tracking system,eye tracking,online,looking time,lab,17:08,18:20,"mono = 17:28, bil = 17:29",idk,yes,yes,not present,﻿English 27 to 70% and their other language 29 to 73%,"Monolingual infants came from English-speaking homes, and their parents reported that they had not received any systematic exposure to a language other than English. Multilingual",y,caregivers status,"﻿For bilingual infants, a minimum of 25% exposure to each language was set as an inclusion criterion (Pearson,",idk,25,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,1,no,﻿Monolinguals showed disambiguation strongly, bilinguals showed marginal use of disambiguation,trilinguals showed no disambiguation,idk,no,"Byers-Heinlein, Krista: kbyers@psych.ubc.ca","Byers-Heinlein, K., & Werker, J. F. (2009). Monolingual, bilingual, trilingual: Infants’ language experience influences the development of a word-learning heuristic. Developmental Science, 12(5), 815–823. https://doi.org/10.1111/j.1467-7687.2009.00902.x"
79,"Byers-Heinlein, Krista

Werker, Janet F",2009,"Monolingual, bilingual, trilingual: Infants' language experience influences the development of a word-learning heuristic. [References].",mutual exclusivity (control with no labels),idk,not present,"monolingual, bilingual, trilingual, infants language experience, word-learning heuristic, language acquisition","*Bilingualism

*Heuristics

*Language Development

*Monolingualism

*Vocabulary

Analysis of Variance

Child Development

Concept Formation

Female

Humans

Infant

Language Development

Male

Multilingualism

Paired-Associate Learning

Pattern Recognition, Visual

Photic Stimulation

Psycholinguistics

Verbal Learning

Vocabulary",17mo-18mo,ENG-X,,one time,16,999,idk,idk,idk,idk,8,8,9,7,8,33.33%,Tobii 1750 eye tracking system,eye tracking,online,looking time,lab,idk,idk,idk,idk,yes,yes,not present,English range: 28 to 68% and their other language 28 to 72%,"Monolingual infants came from English-speaking homes, and their parents reported that they had not received any systematic exposure to a language other than English. Multilingual",y,caregivers status,"﻿For bilingual infants, a minimum of 25% exposure to each language was set as an inclusion criterion (Pearson,",idk,25,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,2,no,no differences,no differences,﻿Infants’ failure to engage in systematic looking behavior confirms that incidental aspects of the experimental procedure cannot account for their performance,idk,no,"Byers-Heinlein, Krista: kbyers@psych.ubc.ca","Byers-Heinlein, K., & Werker, J. F. (2009). Monolingual, bilingual, trilingual: Infants’ language experience influences the development of a word-learning heuristic. Developmental Science, 12(5), 815–823. https://doi.org/10.1111/j.1467-7687.2009.00902.x"
80,"Houston-Price, Carmel

Caloghiris, Zoe

Raviglione, Eleonora",2010,Language experience shapes the development of the mutual exclusivity bias. [References].,mutual exclusivity,"Reading, England, UK",present,"mutual exclusivity bias, language experience, language development, word meaning, vocabulary, bilingualism","*Bilingualism

*Language Development

*Verbal Learning

*Word Meaning

Infant Development

Naming

Vocabulary",17mo-22mo,ENG-X,,one time,50,999,9,11,13,17,22,28,30,20,4,7.41%,999,manual looking time,offline,looking time,lab,17.7,22.9,mono = 20mo; bilingual = 20.4mo,idk,yes,no,not present,not present,"monolingual homes, where only English was spoken",y,caregivers status,If  the parents each spoke to the child in a different language at home or if the child attended a full-time nursery or care-setting where a different language was spoken to that spoken at home.,idk,idk,999,own questionnaire,idk,caregivers status,999,curr,idk,1,yes,﻿monolingual infants use an ME strategy to interpret the meanings of new words by the second half of their second year. ,"﻿our bilingual infants who were matched with the monolingual group on age and English vocabulary size showed no tendency to behave in this way, instead continuing with their baseline behavior of preferentially fixating the familiar object",999,idk,no,"Houston-Price, Carmel: c.houston-price@reading.ac.uk","Houston-Price, C., Caloghiris, Z., & Raviglione, E. (2010). Language experience shapes the development of the mutual exclusivity bias. Infancy, 15(2), 125–150. https://doi.org/10.1111/j.1532-7078.2009.00009.x"
81,"Byers-Heinlein, Krista",2017,Bilingualism affects 9-month-old infants' expectations about how words refer to kinds. [References].,word-object expectation,idk,not present,"infant development, bilingualism, words, monolingualism","*Bilingualism

*Infant Development

*Monolingualism

*Word Recognition

Language Development

Words (Phonetic Units)",9mo-10mo,ENGorFRN-X,,one time,44,999,9,14,9,12,18,26,21,23,48,52.17%,Tobii T-60XL eyetracking monitor,eye tracking,online,looking time,lab,8:22,10:25,"mono= 9:25, bilingual = 9:24",idk,yes,yes,not present,25%-50%,exposed to English or French at least 90% of the time.,y,exposure,"﻿All bilinguals were exposed to English or French at least 25% of the time, and a second language 25% of the time",90,25,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",yes,exposure,999,idk,4,1,yes,"﻿monolingual infants looked longest when one label was used to name objects of different kinds, and when two labels were used to name identical objects. ","﻿bilingual infants did not show any differences in their pattern of looking as a function of the number of different object labels used, and the number of different object kinds revealed.",999,idk,no,"Byers-Heinlein, Krista: k.byers@concordia.ca","Byers-Heinlein, K. (2017). Bilingualism affects 9-month-old infants’ expectations about how words refer to kinds. Developmental Science, 20(1), 1–10. https://doi.org/10.1111/desc.12486"
82,"Kovacs, Agnes Melinda

Mehler, Jacques",2009,Cognitive gains in 7-month-old bilingual infants. [References].,cognitive control,"Trieste, Italy",present,"cognitive development, infant cognition, early bilingualism, linguistic signals","*Bilingualism

*Cognitive Development

*Infant Development

Linguistics

Acoustic Stimulation

Cognition

Cues

Female

Humans

Infant

Male

Multilingualism

Photic Stimulation",7mo,ITA-X,,one time,40,999,11,9,11,9,22,18,20,20,12,23.08%,Tobii 1750 eye tracking system,switch task,online,anticipatory look,lab,7:01,7:30,"mono= 7.22, bilingual = 7.20",idk,yes,no,not present,not present,not present,not present,idk,Infants were considered bilingual if they had parents with different mother tongues addressing them consistently in their respective native languages and if they had daily exposure to both languages.,idk,none,999,own questionnaire,no,caregivers status,only bilingual parents as a measure,curr,idk,1,yes,"﻿monolinguals have
difficulty overcoming a well-learned response fits well with previous results showing that 7-month-old infants display per- severation and difficulty inhibiting previously rewarded re- sponses due to their immature EF","﻿bilinguals significantly decreased their perseverative responses and increased anticipations to the new location, which suggests that a multilingual environment improves aspects of EF even in preverbal infants.",999,idk,no,"Kovacs, Agnes Melinda: agneskovacs@mtapi.hu","Kovács, Á. M., & Mehler, J. (2009). Cognitive gains in 7-month-old bilingual infants. Proceedings of the National Academy of Sciences, 106(16), 6556–6560. https://doi.org/10.1073/pnas.0811323106"
82,"Kovacs, Agnes Melinda

Mehler, Jacques",2009,Cognitive gains in 7-month-old bilingual infants. [References].,cognitive control,"Trieste, Italy",present,"cognitive development, infant cognition, early bilingualism, linguistic signals","*Bilingualism

*Cognitive Development

*Infant Development

Linguistics

Acoustic Stimulation

Cognition

Cues

Female

Humans

Infant

Male

Multilingualism

Photic Stimulation",7mo,ITA-X,,one time,40,999,9,11,9,11,18,22,20,20,15,27.27%,Tobii 1750 eye tracking system,switch task,online,anticipatory look,lab,7:03,7:30,"mono= 7.19, bilingual = 7.16",idk,yes,no,not present,not present,not present,not present,idk,Infants were considered bilingual if they had parents with different mother tongues addressing them consistently in their respective native languages and if they had daily exposure to both languages.,idk,none,999,own questionnaire,no,caregivers status,only bilingual parents as a measure,curr,idk,2,yes,"﻿monolingual 7-month-olds, unlike bilinguals, do not learn the new response in the postswitch phase, even when the switch is signaled by differently structured cues. These", bilinguals learned the new response in the postswitch phase  when the switch is signaled by differently structured cues,999,idk,no,"Kovacs, Agnes Melinda: agneskovacs@mtapi.hu","Kovács, Á. M., & Mehler, J. (2009). Cognitive gains in 7-month-old bilingual infants. Proceedings of the National Academy of Sciences, 106(16), 6556–6560. https://doi.org/10.1073/pnas.0811323106"
82,"Kovacs, Agnes Melinda

Mehler, Jacques",2009,Cognitive gains in 7-month-old bilingual infants. [References].,cognitive control,"Trieste, Italy",present,"cognitive development, infant cognition, early bilingualism, linguistic signals","*Bilingualism

*Cognitive Development

*Infant Development

Linguistics

Acoustic Stimulation

Cognition

Cues

Female

Humans

Infant

Male

Multilingualism

Photic Stimulation",7mo,ITA-X,,one time,40,999,9,11,10,10,19,21,20,20,14,25.93%,Tobii 1750 eye tracking system,switch task,online,anticipatory look,lab,7:03,7:30,"mono= 7.17, bilingual = 7.17",idk,yes,no,not present,not present,not present,not present,idk,Infants were considered bilingual if they had parents with different mother tongues addressing them consistently in their respective native languages and if they had daily exposure to both languages.,idk,none,999,own questionnaire,no,caregivers status,only bilingual parents as a measure,curr,idk,3,yes,﻿Bilinguals had more correct looks on the last Block of the postswitch phase than monolinguals whereas the groups did not differ in total number of anticipations, bilinguals learned the new response in the postswitch phase  when the switch is signaled by the visual cues,999,idk,no,"Kovacs, Agnes Melinda: agneskovacs@mtapi.hu","Kovács, Á. M., & Mehler, J. (2009). Cognitive gains in 7-month-old bilingual infants. Proceedings of the National Academy of Sciences, 106(16), 6556–6560. https://doi.org/10.1073/pnas.0811323106"
83,"Kovacs, Agnes Melinda

Mehler, Jacques",2009,Flexible learning of multiple speech structures in bilingual infants.,speech structure,"Trieste, Italy",present,"bilingual infants, learning, speech structures","*Bilingualism

*Infant Development

*Oral Communication

*Speech Development

Child Language

Female

Humans

Infant

Language Development

Learning

Male

Multilingualism

Speech Perception",12mo,ITA-X,,one time,44,999,10,12,10,12,20,24,22,22,19,30.16%,Tobii 1750 eye tracking system,﻿tri-syllabic speech (AAB or ABA),online,﻿difference scores ((#correct looks – # incorrect looks) / (#correct looks + # incorrect looks)),lab,12:04,13:04,"mono= 12.21, bilingual = 12:20",idk,yes,no,not present,not present,not present,not present,idk,Bilinguals had parents with different mother tongues addressing them in different languages and daily exposure to both languages from birth. Most,idk,idk,999,own questionnaire,no,caregivers status,999,curr,idk,1,yes,"﻿Monolinguals, in contrast, looked more often to the correct side when the speech items had the structure AAB, but not when they had the structure ABA",﻿bilinguals looked more often to the correct side for both structures,999,idk,no,"Kovacs, Agnes Melinda: agneskovacs@mtapi.hu","Kovács, Á. M., & Mehler, J. (2009). Flexible learning of multiple speech structures in bilingual infants. Science, 325(5940), 611–612. https://doi.org/10.1126/science.1173947"
84,"Vihman, Marilyn May

Thierry, Guillaume

Lum, Jarrad

Keren-Portnoy, Tamar

Martin, Pam",2007,"Onset of word form recognition in English, Welsh, and English-Welsh bilingual infants. [References].",word recognition,"North Wales, Wales, U.K",present,"word form recognition, familiarity, bilingualism, monolingualism, English-Welsh bilingual infants","*Bilingualism

*Familiarity

*Infant Development

*Monolingualism

*Word Recognition",11mo & 14mo,ENG-Welsh,,one time,235,999,idk,idk,idk,idk,idk,idk,207,28,idk,idk,ERP,Head turn + ERP,999,,lab,9:00,12:00,idk,idk,yes,no,not present,not present,not present,not present,idk,"we considered children to be bilingual if the number of words they were reported to know in English fell between 20 and 80% of the total words known in both languages (cf. Pearson, Fern´andez, &Oller, 1993, for a comparable procedure for establishing language dominance).",idk,20,yes,"Communicative Development Inventory (CDI) adapted for British English by Hamilton, Plunkett, and Schafer (2001) and for Welsh by Margaret Bell.",no,vocabulary,cutoff is for % total words in each language,curr,idk,1,kinda,﻿Behavioral measures confirmed the onset of a familiarity effect at 11 months in English but failed to identify it in monolingual Welsh infants between 9 and 12 months. In the neurophysiological procedure the familiarity effect was detected as early as 10 months in English but did not reach significance in monolingual Welsh.,"﻿Welsh–English bilingual infants, showing an effect of familiarity in both languages, in both procedures (HT and ERP)",999,idk,no,"Vihman, Marilyn May: mv509@york.ac.uk","Vihman, M. M., Thierry, G., Lum, J., Keren-Portnoy, T., & Martin, P. (2007). Onset of word form recognition in English, Welsh, and English-Welsh bilingual infants. Applied Psycholinguistics, 28(3), 475–493. https://doi.org/10.1017/S0142716407070269"
85,"Singh, Leher

Poh, Felicia L. S

Fu, Charlene S. L",2016,"""Limits on monolingualism? A comparison of monolingual and bilingual infants' abilities to integrate lexical tone in novel word learning"": Corrigendum.",word recognition,"Singapore, Singapore",present,"lexical tone, phoneme discrimination, infant speech perception, Mandarin Chinese, word learning","*Bilingualism

*Infant Development

*Lexical Access

*Monolingualism",12mo-13mo,English-Mandarin,,one time,18,999,idk,idk,0,0,idk,idk,0,18,7,28.00%,999,Switch task,online,looking time,lab,12:10,13:21,13:01,idk,yes,yes,999,"﻿English 38to 63%,Mandarin  37 to 62%",999,999,999,not present,999,35,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,1,999,999,"﻿bilingual infants demonstrated the ability to bind tone to word meanings in Mandarin, but to disregard tone variation when learning new words in English.",999,idk,no,"Singh, Leher: psyls@nus.edu.sg","Singh, L., Poh, F. L. S., & Fu, C. S. L. (2016). Limits on monolingualism? A Comparison of monolingual and bilingual infants’ abilities to integrate lexical tone in novel word learning. Frontiers in Psychology, 7(667), 1–16. https://doi.org/10.3389/fpsyg.2016.00667"
