"","code","study_num","year","age_group","location","country","groups","languages","mono_def_present","mono_definition","mono_concept","bi_concept","bi_def_present","bi_definition","bi_measure","cutoff_mono","cutoff_bi","attrition.n.","Data.collection","lab_home","citation","articles","if.comparing..diff."
"50",38,"1",2017,"30mo","Switzerland","Switzerland","Monolinguals= 37
Bilinguals= 74","Swiss German- or Std German-Other","Not Present","not present","exposure","Exposure","Present","All bilingual children grew up with two languages from birth and had at least 20% input in each of their two languages","own questionnaire","80%","20%","26","idk","lab","Wermelinger, S., Gampe, A., & Daum, M. M. (2017). Bilingual toddlers have advanced abilities to repair communication failure. Journal of Experimental Child Psychology, 155, 84–94. https://doi.org/10.1016/j.jecp.2016.11.005","Wermelinger, S., Gampe, A., & Daum, M. M. (2017)","yes"
"51",39,"1",2017,"24mo","Not provided","Not provided","Monolinguals= 24
Bilinguals= 14","Dutch-Other","Not Present","not present","idk","Exposure","Present","Toddlers were considered bilingual if they had been exposed to two languages from birth and if they had been exposed to one language at least 15% of the time","UBiLEC (Utrecht Bilingual Language Exposure Calculator, Unsworth, 2013)","85%","15%","42","idk","lab","Bree, E. De, Verhagen, J., Kerkhoff, A., Doedens, W., & Unsworth, S. (2016). Language learning from inconsistent input : Bilingual and monolingual toddlers compared. Infant and Child Development, 26(4), 1–16. https://doi.org/10.1002/icd.1996","Bree, E. De, Verhagen, J., Kerkhoff, A., Doedens, W., & Unsworth, S. (2016)","no"
"52",40,"1",2016,"6mo","Paris, France","France","Monolinguals= 0
Bilinguals= 24","French-German","NA","999","999","Exposure","Present","Only infants exposed to both French and German between 30 to 70% of the time, and to no other languages, were included in the study","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","30%","2","idk","lab","Bijeljac-Babic, R., Höhle, B., & Nazzi, T. (2016). Early Prosodic Acquisition in Bilingual Infants : The Case of the Perceptual Trochaic Bias. Frontiers in Psychology, 7(February), 1–8. https://doi.org/10.3389/fpsyg.2016.00210","Bijeljac-Babic, R., Höhle, B., & Nazzi, T. (2016)","999"
"53",41,"1",2015,"8mo-9mo, 11mo-12mo, & 14mo-15mo","Netherlands","Netherlands","Monolinguals= 120
Bilinguals= 189","Dutch-Other","Not Present","not present","exposure","Exposure","Present","no less than 20% for the non-dominant language. The","own questionnaire","None","20%","36","idk","lab","Liu, L., & Kager, R. (2015). Bilingual exposure influences infant VOT perception. Infant Behavior and Development, 38, 27–36. https://doi.org/10.1016/j.infbeh.2014.12.004","Liu, L., & Kager, R. (2015)","yes"
"54",42,"1",2015,"14mo & 19mo","California (Davis), United States","United States","Monolinguals= 0
Bilinguals= 32","English-Other","NA","999","999","Exposure","Present","heard English for between 25% and 75% of their language exposure and a second language for the remaining 75%–25%","own questionnaire","NA","25%","12","2012-2014","lab","Estes, K. G., & Hay, J. F. (2015). Flexibility in Bilingual Infants ’ Word Learning. Child Development, 86(5), 1371–1385. https://doi.org/10.1111/cdev.12392","Estes, K. G., & Hay, J. F. (2015)","999"
"55",42,"2",2015,"22mo","California (Davis), United States","United States","Monolinguals= 0
Bilinguals= 16","English-Other","NA","999","999","Exposure","Present","heard English for between 25% and 75% of their language exposure and a second language for the remaining 75%–25%","own questionnaire","NA","25%","9","2012-2014","lab","Estes, K. G., & Hay, J. F. (2015). Flexibility in Bilingual Infants ’ Word Learning. Child Development, 86(5), 1371–1385. https://doi.org/10.1111/cdev.12392","Estes, K. G., & Hay, J. F. (2015)","999"
"56",43,"1",2016,"24mo & 30mo","California (San Diego), United States & Québec (Montréal), Canada","United States,Canada","Monolinguals= 49
Bilinguals= 43","French-English","Present","at least 90% exposure to English","exposure","Exposure","Present","exposed to English and French from birth and having at least 20% exposure to their second language (L2)","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","90%","20%","10","idk","lab","Crivello, C., Kuzyk, O., Rodrigues, M., Friend, M., Zesiger, P., & Poulin-Dubois, D. (2016). The effects of bilingual growth on toddlers’ executive function. Journal of Experimental Child Psychology, 141(August), 121–132. https://doi.org/10.1016/j.jecp.2015.08.004","Crivello, C., Kuzyk, O., Rodrigues, M., Friend, M., Zesiger, P., & Poulin-Dubois, D. (2016)","yes"
"57",44,"1",2011,"24mo","Canadian city","Canadian city","Monolinguals= 30
Bilinguals= 33","French-English","Present","Children whose exposure to their L1 was equal to or greater than 80% were included in the monolingual group (n","exposure","Exposure","Present","Children whose exposure to their L1 was less than 80% were included in the bilingual group","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","80%","20%","12","idk","lab","Poulin-Dubois, D., Blaye, A., Coutya, J., & Bialystok, E. (2011). The effects of bilingualism on toddlers’ executive functioning. Journal of Experimental Child Psychology, 108(3), 567–579. https://doi.org/10.1016/j.jecp.2010.10.009","Poulin-Dubois, D., Blaye, A., Coutya, J., & Bialystok, E. (2011)","yes"
"58",45,"1",2016,"12mo-18mo","Geneva, Switzerland & Québec (Montréal), Canada","Switzerland,Canada","Monolinguals= 59
Bilinguals= 50","French-English","Present","infants’ exposure to their L1, French, be 90% or higher.","exposure","Exposure","Present"," to have either French or English as their L1.  They also had to have been exposed to their L from birth, and not have been exposed to a third language (L) more than 0% of the time. ","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","90%","None","29","idk","lab","Legacy, J., Zesiger, P., Friend, M., & Poulin-Dubois, D. (2016). Vocabulary size , translation equivalents , and efficiency in word recognition in very young bilinguals. Journal of Child Language, 43(4), 760–783.","Legacy, J., Zesiger, P., Friend, M., & Poulin-Dubois, D. (2016)","yes"
"59",46,"1",2015,"18mo","Barcelona, Spain & District of Columbia, United States","Spain,United States","Monolinguals= 30
Bilinguals= 30","Catalan-Spanish-English","Not Present","not present (only described sample)","exposure","Exposure","Present","Bilingual infants were defined as those who had been exposed to two languages on a daily basis from birth. ﻿only infants whose parents had different native languages (i.e., one parent’s first language was Spanish and the other parent’s first language was English) were included in the bilingual group","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","8","idk","idk","Brito, N. H., Sebastián-Gallés, N., & Barr, R. (2015). Differences in Language Exposure and its Effects on Memory Flexibility in Monolingual , Bilingual , and Trilingual Infants. Bilingualism: Language and Cognition, 18(4), 670–682. https://doi.org/10.1017/S1366728914000789","Brito, N. H., Sebastián-Gallés, N., & Barr, R. (2015)","yes"
"60",47,"1",2014,"6mo","Not provided","Not provided","Monolinguals= 30
Bilinguals= 28","English-Other","Not Present","not present (only described sample)","exposure","Exposure","Present","those who had been exposed to two languages on a daily basis from birth.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","5","idk","idk","Brito, N., & Barr, R. (2014). Flexible memory retrieval in bilingual 6-month-old infants. Developmental Psychobiology, 56(5), 1156–1163. https://doi.org/10.1002/dev.21188","Brito, N., & Barr, R. (2014)","yes"
"61",48,"1",2014,"24mo","Washington, United States","United States","Monolinguals= 18
Bilinguals= 18","English-Other","Not Present","not present (only described sample)","idk","Exposure","Present","those who had been exposed to two languages on a daily basis from birth and trilingual chil- dren were defined as children who had been exposed to three languages on a daily basis from birth","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","10","idk","idk","Brito, N. H., Grenell, A., & Barr, R. (2014). Specificity of the bilingual advantage for memory: examining cued recall, generalization, and working memory in monolingual, bilingual, and trilingual toddlers  . Frontiers in Psychology  . Retrieved from https://www.frontiersin.org/article/10.3389/fpsyg.2014.01369","Brito, N. H., Grenell, A., & Barr, R. (2014)","yes"
"62",49,"1",2012,"18mo","Not provided","Not provided","Monolinguals= 15
Bilinguals= 15","English-Other","Not Present","not present (only described sample)","idk","Exposure","Present","Bilingual infants were defined as those who (1) had a
non-native English-speaking parent, (2) had a parent who predominantly spoke to them in a minority lan- guage at home, and who (3) had been exposed to two languages from birth.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","8","IDK","idk","Brito, N., & Barr, R. (2012). Influence of bilingualism on memory generalization during infancy. Developmental Science, 15(6), 812–816. https://doi.org/10.1111/j.1467-7687.2012.1184.x","Brito, N., & Barr, R. (2012)","yes"
"63",50,"1",2011,"6mo-9mo & 10mo-12mo","Texas (San Antonio), United States","United States","Monolinguals= 0
Bilinguals= 27","English-Spanish","NA","999","999","Exposure","Present","The amount of exposure, on a scale of 1–10, was assigned to English and Spanish for each adult and then summed all adults for each participant","Bilingual questionnaire (Conboy, 2002;Conboy & Mills, 2006)","NA","None","2","idk","both","Garcia-Sierra, A., Rivera-Gaxiola, M., Percaccio, C. R., Conboy, B. T., Romo, H., Klarman, L., … Kuhl, P. K. (2011). Bilingual language learning: An ERP study relating early brain responses to speech, language input, and later word production. Journal of Phonetics, 39(4), 546–557. https://doi.org/10.1016/j.wocn.2011.07.002","Garcia-Sierra, A., Rivera-Gaxiola, M., Percaccio, C. R., Conboy, B. T., Romo, H., Klarman, L., … Kuhl, P. K. (2011)","999"
"64",51,"1",2016,"11mo & 14mo","Washington, United States","United States","Monolinguals= 18
Bilinguals= 19","English-Spanish","Not Present","not present","idk","Caregivers Status","Not Present","not present","English/Spanish bilingual background questionnaire (Garcia-Sierra et al., 2009; Garcia-Sierra et al., 2012)","None","None","17","idk","both","Garcia-Sierra, A., Ramírez-Esparza, N., & Kuhl, P. K. (2016). Relationships between quantity of language input and brain responses in bilingual and monolingual infants. International Journal of Psychophysiology, 110, 1–17. https://doi.org/10.1016/j.ijpsycho.2016.10.004","Garcia-Sierra, A., Ramírez-Esparza, N., & Kuhl, P. K. (2016)","yes"
"65",52,"1",2010,"22mo","Florida (South Florida), United States","United States","Monolinguals= 0
Bilinguals= 41","English-Spanish","NA","999","999","Exposure","Present","they had been exposed to both English and Spanish since birth, and the less frequently heard language constituted at least 10% of their input","Home Language Environment Questionnaire (HLEQ) Marchman and colleagues (2004)","NA","10%","","idk","both","Parra, M., Hoff, E., & Core, C. (2011). Relations among language exposure, phonological memory, and language development in Spanish-English bilingually developing 2-year-olds. Journal of Experimental Child Psychology, 108(1), 113–125. https://doi.org/10.1016/j.jecp.2010.07.011","Parra, M., Hoff, E., & Core, C. (2011)","999"
"66",53,"1",2013,"22mo, 25mo, & 30mo","Florida (South Florida), United States","United States","Monolinguals= 56
Bilinguals= 47","English-Spanish","Not Present","not present (only described sample)","exposure","Exposure","Present","if their primary caregiver reported that they experienced both Spanish and English in conversa- tional interaction (not merely overheard speech or television) and that the less frequently heard language constituted at least 10% of their language exposure. ","Questionnaire by Marchman & Martínez-Sussmann, 2002","None","10%","36","idk","idk","Core, C., Hoff, E., Rumiche, R., & Señor, M. (2013). Total and conceptual vocabulary in Spanish-English bilinguals from 22 to 30 months: Implications for assessment. Journal of Speech, Language, and Hearing Research, 56(5), 1637–1649. https://doi.org/10.1044/1092-4388(2013/11-0044)","Core, C., Hoff, E., Rumiche, R., & Señor, M. (2013)","yes"
"67",54,"1",2012,"22mo, 25mo, & 30mo","Florida (South Florida), United States","United States","Monolinguals= 56
Bilinguals= 47","English-Spanish","Not Present","not present (only described sample)","exposure","Exposure","Present","﻿children were required to hear at least 10 percent of their total input in the less-frequently-heard language, according to caregiver report.","single question","None","10%","idk","idk","idk","Hoff, E., Core, C., Place, S., Rumiche, R., Señor, M., & Parra, M. (2012). Dual language exposure and early bilingual development. Journal of Child Language, 39(1), 1–27. https://doi.org/10.1017/S0305000910000759","Hoff, E., Core, C., Place, S., Rumiche, R., Señor, M., & Parra, M. (2012)","yes"
"68",55,"1&2",2015,"4mo, 8mo, & 12mo","Spain","Spain","Monolinguals= 60
Bilinguals= 63","Catalan-Spanish","Present","All infants were raised in a monolingual environment and were exposed to Catalan or Spanish at least 90% of the time.","exposure","Exposure","Present","﻿These infants were raised in a bilingual environment; in addition to being exposed to their native (dominant) lan- guage, they were exposed to another language for at least 25% of the time (i.e., either Spanish or Catalan)","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","25%","55","idk","lab","Pons, F., Bosch, L., & Lewkowicz, D. J. (2015). Bilingualism Modulates Infants’ Selective Attention to the Mouth of a Talking Face. Psychological Science, 26(4), 490–498. https://doi.org/10.1177/0956797614568320","Pons, F., Bosch, L., & Lewkowicz, D. J. (2015)","yes"
"69",56,"1a",2009,"4mo & 8mo","Barcelona, Spain","Spain","Monolinguals= 24
Bilinguals= 24","Catalan-Spanish","Present","the percentage of daily exposure to the family language (Catalan or Spanish) had to be at least 80% (with sporadic and indirect exposure, if any, to the language not spoken at home)","exposure","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","80%","35%","8","idk","lab","Sebastián-Gallés, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: Is the distributional account all there is to it? Developmental Science, 12(6), 874–887. https://doi.org/10.1111/j.1467-7687.2009.00829.x","Sebastián-Gallés, N., & Bosch, L. (2009)","yes"
"70",56,"1b",2009,"12mo","Barcelona, Spain","Spain","Monolinguals= 0
Bilinguals= 12","Catalan-Spanish","NA","999","999","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","NA","35%","8","idk","lab","Sebastián-Gallés, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: Is the distributional account all there is to it? Developmental Science, 12(6), 874–887. https://doi.org/10.1111/j.1467-7687.2009.00829.x","Sebastián-Gallés, N., & Bosch, L. (2009)","999"
"71",56,"2a",2009,"8mo","Barcelona, Spain","Spain","Monolinguals= 0
Bilinguals= 12","Catalan-Spanish","NA","999","999","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","NA","35%","3","idk","lab","Sebastián-Gallés, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: Is the distributional account all there is to it? Developmental Science, 12(6), 874–887. https://doi.org/10.1111/j.1467-7687.2009.00829.x","Sebastián-Gallés, N., & Bosch, L. (2009)","999"
"72",56,"2b",2009,"8mo","Barcelona, Spain","Spain","Monolinguals= 0
Bilinguals= 12","Catalan-Spanish","NA","999","999","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","NA","35%","3","idk","lab","Sebastián-Gallés, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: Is the distributional account all there is to it? Developmental Science, 12(6), 874–887. https://doi.org/10.1111/j.1467-7687.2009.00829.x","Sebastián-Gallés, N., & Bosch, L. (2009)","999"
"73",56,"3",2009,"4mo & 8mo","Barcelona, Spain","Spain","Monolinguals= Not provided
Bilinguals= Not provided","Catalan-Spanish","Present","the percentage of daily exposure to the family language (Catalan or Spanish) had to be at least 80% (with sporadic and indirect exposure, if any, to the language not spoken at home)","exposure","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","80%","35%","idk","IDK","lab","Sebastián-Gallés, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: Is the distributional account all there is to it? Developmental Science, 12(6), 874–887. https://doi.org/10.1111/j.1467-7687.2009.00829.x","Sebastián-Gallés, N., & Bosch, L. (2009)","no"
"74",57,"1",2014,"18mo","Not provided","Not provided","Monolinguals= 24
Bilinguals= 24","Catalan-Spanish-English","Present","growing up in monolingual homes, either Spanish or Catalan, and exposure to a second language, if present, was esti- mated to be always below 10% ofthe total amount oftime","exposure","Exposure","Present","Inclusion in this group was based on a distribution of exposure to both languages ranging from 50%–50% up to a maximum of75%–25% distribution","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","25%","idk","idk","","Bosch, L., & Ramon-Casas, M. (2014). First translation equivalents in bilingual toddlers’ expressive vocabulary: Does form similarity matter? International Journal of Behavioral Development, 38(4), 317–322. https://doi.org/10.1177/0165025414532559","Bosch, L., & Ramon-Casas, M. (2014)","kinda"
"75",58,"1&2",2009,"17mo-27mo","Not provided","Not provided","Monolinguals= 48
Bilinguals= 24","Catalan-Spanish","Present","participants had to have a daily exposure to the family language within the 85–100% range and parents had to use only one language (either Catalan or Spanish) between them and when interacting with the child","exposure","Exposure","Not Present","idk","own questionnaire","85%","21%","17","IDK","portable lab","Ramon-Casas, M., Swingley, D., Sebastián-Gallés, N., & Bosch, L. (2009). Vowel categorization during word recognition in bilingual toddlers. Cognitive Psychology, 59(1), 96–121. https://doi.org/10.1016/j.cogpsych.2009.02.002","Ramon-Casas, M., Swingley, D., Sebastián-Gallés, N., & Bosch, L. (2009)","yes"
"76",58,"3",2009,"17mo-27mo","Not provided","Not provided","Monolinguals= 24
Bilinguals= 24","Catalan-Spanish","Present","participants had to have a daily exposure to the family language within the 85–100% range and parents had to use only one language (either Catalan or Spanish) between them and when interacting with the child","exposure","Exposure","Not Present","idk","own questionnaire","85%","21%","7","IDK","portable lab","Ramon-Casas, M., Swingley, D., Sebastián-Gallés, N., & Bosch, L. (2009). Vowel categorization during word recognition in bilingual toddlers. Cognitive Psychology, 59(1), 96–121. https://doi.org/10.1016/j.cogpsych.2009.02.002","Ramon-Casas, M., Swingley, D., Sebastián-Gallés, N., & Bosch, L. (2009)","no"
"77",59,"1",2003,"4mo","Barcelona, Spain","Spain","Monolinguals= 24
Bilinguals= 12","Catalan-Spanish","Present","the percentage of daily exposure to the family language (Catalan or Spanish) had to be at least 80% (with sporadic and indirect exposure, if any, to the language not spoken at home)","exposure","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","80%","35%","8","idk","lab","Bosch, L., & Sebastián-Gallés, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech, 46(2–3), 217–243. https://doi.org/10.1177/00238309030460020801","Bosch, L., & Sebastián-Gallés, N. (2003)","no"
"78",59,"2",2003,"8mo","Barcelona, Spain","Spain","Monolinguals= 24
Bilinguals= 12","Catalan-Spanish","Present","the percentage of daily exposure to the family language (Catalan or Spanish) had to be at least 80% (with sporadic and indirect exposure, if any, to the language not spoken at home)","exposure","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","80%","35%","6","idk","lab","Bosch, L., & Sebastián-Gallés, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech, 46(2–3), 217–243. https://doi.org/10.1177/00238309030460020801","Bosch, L., & Sebastián-Gallés, N. (2003)","yes"
"79",59,"3",2003,"12mo","Barcelona, Spain","Spain","Monolinguals= 0
Bilinguals= 12","Catalan-Spanish","NA","999","999","Exposure","Present","﻿those that had a balanced distribution of daily exposure to both Catalan and Spanish, ranging from 50%–50% to 65%–35%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","NA","35%","3","idk","lab","Bosch, L., & Sebastián-Gallés, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech, 46(2–3), 217–243. https://doi.org/10.1177/00238309030460020801","Bosch, L., & Sebastián-Gallés, N. (2003)","999"
"80",60,"1&2",2002,"10mo","Barcelona, Spain","Spain","Monolinguals= 48
Bilinguals= 48","Catalan-Spanish","Present","Monolingual infants were included if global exposure to a single language (either Catalan or Spanish) ranged from 80% to 100% of the total time","exposure","Exposure","Present","balanced daily exposure to both Spanish and Catalan, the distribution ranging from 50% exposure to each language to 30% exposure to one language and 70% exposure to the other. Invariably,","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","80%","30%","7","idk","lab","Sebastián-Gallés, N., & Bosch, L. (2002). Building phonotactic knowledge in bilinguals: Role of early exposure. Journal of Experimental Psychology: Human Perception and Performance, 28(4), 974–989. https://doi.org/10.1037/0096-1523.28.4.974","Sebastián-Gallés, N., & Bosch, L. (2002)","yes"
"81",61,"1&3",2001,"4mo","Spain","Spain","Monolinguals= 28
Bilinguals= 28","Catalan-Spanish","Not Present","not present","idk","Exposure","Present","only cases in which we found a balanced distribution of daily exposure to these two languages (ranging from 50%50% to 65%-35%) were included in the final sam- ple","own questionnaire","None","35%","19","idk","lab","Bosch, L., & Sebastián-Gallés, N. (2001). Evidence of Early Language Discrimination Abilities in Infants from Bilingual Environments. Infancy, 2(1), 29–49. https://doi.org/10.1207/S15327078IN0201_3","Bosch, L., & Sebastián-Gallés, N. (2001)","no"
"82",62,"1&4a",1997,"4mo","Barcelona, Spain","Spain","Monolinguals= 10
Bilinguals= 10","Catalan-Spanish","Present","from monolingual environments (five Spanish and five Catalan) in which the infant’s time ofexposure to the familiar language was at least 85% (this implied that only one language was spoken at home and exposure to the second language was occasional, and generally indirect).","exposure","Exposure","Present","daily time of exposure to both languages had to be equivalent to or within the limits ofa 40–60%","own questionnaire","85%","40%","7","idk","lab","Bosch, L., & Sebastián-Gallés, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33–69. https://doi.org/10.1016/S0010-0277(97)00040-1","Bosch, L., & Sebastián-Gallés, N. (1997)","yes"
"83",62,"2&4b",1997,"4mo","Barcelona, Spain","Spain","Monolinguals= 10
Bilinguals= 10","Catalan-Spanish","Present","from monolingual environments (five Spanish and five Catalan) in which the infant’s time ofexposure to the familiar language was at least 85% (this implied that only one language was spoken at home and exposure to the second language was occasional, and generally indirect).","exposure","Exposure","Present","daily time of exposure to both languages had to be equivalent to or within the limits ofa 40–60%","own questionnaire","85%","40%","10","idk","lab","Bosch, L., & Sebastián-Gallés, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33–69. https://doi.org/10.1016/S0010-0277(97)00040-1","Bosch, L., & Sebastián-Gallés, N. (1997)","yes"
"84",62,"5&4a",1997,"4mo","Barcelona, Spain","Spain","Monolinguals= 0
Bilinguals= 20","Catalan-Spanish","NA","999","999","Exposure","Present","daily time of exposure to both languages had to be equivalent to or within the limits ofa 40–60%","own questionnaire","NA","40%","5","idk","lab","Bosch, L., & Sebastián-Gallés, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33–69. https://doi.org/10.1016/S0010-0277(97)00040-1","Bosch, L., & Sebastián-Gallés, N. (1997)","yes"
"85",63,"1",2014,"9mo-10mo","Donostia–San Sebastian, Basque Country","Basque Country","Monolinguals= 0
Bilinguals= 69","Basque-Spanish","NA","999","999","Caregivers Status","Present","all the infants in the current study were enrolled in a Basque–Spanish bilingual daycare starting at 4 months ofage (4 to 6 hours per day) and frowing up in a bilingual community.A subset of infants also received bilingual input in their homes.","own questionnaire","NA","None","10","idk","lab","Molnar, M., Lallier, M., & Carreiras, M. (2014). The amount of language exposure determines nonlinguistic tone grouping biases in infants from a bilingual environment. Language Learning, 64(Suppl. 2), 45–64. https://doi.org/10.1111/lang.12069","Molnar, M., Lallier, M., & Carreiras, M. (2014)","999"
"86",64,"1",2014,"3.5mo","Donostia–San Sebastian, Basque Country","Basque Country","Monolinguals= 50
Bilinguals= 29","Basque-Spanish","Present","if they were exposed to one of the languages (Spanish or Basque) at least 90% of the time, and they used only one lan- guage in family settings.","exposure","Exposure","Present","The criterion for including infants in the bilingual group was a minimum of 70–30% overall exposure to Basque and Spanish and both languages being spoken in family settings. Infants","own questionnaire","90%","30%","37","idk","lab","Molnar, M., Gervain, J., & Carreiras, M. (2014). Within-rhythm class native language discrimination abilities of basque-Spanish monolingual and bilingual infants at 3.5 months of age. Infancy, 19(3), 326–337. https://doi.org/10.1111/infa.12041","Molnar, M., Gervain, J., & Carreiras, M. (2014)","yes"
"87",65,"1",2008,"6mo-8mo, 10mo-12mo","Not provided","Not provided","Monolinguals= 64
Bilinguals= 32","French-English","Present","Infants with at least 90% of their input as French-only or English-only were considered mon- olinguals","exposure","Exposure","Present","﻿if the ratio of their daily exposure to French and English ranged from 50–50% to 70–30%","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","30%","23","idk","lab","Sundara, M., Polka, L., & Molnar, M. (2008). Development of coronal stop perception: Bilingual infants keep pace with their monolingual peers. Cognition, 108(1), 232–242. https://doi.org/10.1016/j.cognition.2007.12.013","Sundara, M., Polka, L., & Molnar, M. (2008)","yes"
"88",66,"1",2011,"4mo & 8mo","Not provided","Not provided","Monolinguals= 40
Bilinguals= 40","English-Spanish","Present","at least 90% of their total language input in English; in practice, all infants classified as monolingual had 100% of their input as English-only.","exposure","Exposure","Present","infants’ daily exposure to Spanish and English could range from 50–50% to 80–20%.","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","20%","33","idk","lab","Sundara, M., & Scutellaro, A. (2011). Rhythmic distance between languages affects the development of speech perception in bilingual infants. Journal of Phonetics, 39(4), 505–513. https://doi.org/10.1016/j.wocn.2010.08.006","Sundara, M., & Scutellaro, A. (2011)","no"
"89",67,"1",2010,"17mo","Québec (Montréal), Canada","Canada","Monolinguals= 32
Bilinguals= 16","French-English","Present","monolingual groups were estimated to have 90–100% exposure to either English or French.","exposure","Exposure","Present","﻿the bilingual group were estimated to have balanced input in English and French (50–50% or 60–40%)","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","40%","15","idk","lab","Mattock, K., Polka, L., Rvachew, S., & Krehm, M. (2010). The first steps in word learning are easier when the shoes fit: Comparing monolingual and bilingual infants. Developmental Science, 13(1), 229–243. https://doi.org/10.1111/j.1467-7687.2009.00891.x","Mattock, K., Polka, L., Rvachew, S., & Krehm, M. (2010)","yes"
"90",68,"1",2016,"16mo","Paris, France","France","Monolinguals= 0
Bilinguals= 36","French-Other","NA","999","999","Exposure","Present","﻿exposed to French and an additional lan- guage from birth and received input in each language for a min- imum of 30% and a maximum of 70%, respectively (inclusion criterion recommended by Pearson, Fernandez, Lewedeg, & Oller, 1997). French exposure came from at least one of the two parents, who was a native speaker. Two","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","NA","30%","","idk","idk","Havy, M., Bouchon, C., & Nazzi, T. (2016). Phonetic processing when learning words: The case of bilingual infants. International Journal of Behavioral Development, 40(1), 41–52. https://doi.org/10.1177/0165025415570646","Havy, M., Bouchon, C., & Nazzi, T. (2016)","999"
"91",69,"3&4",2016,"1day-4days","Paris, France","France","Monolinguals= 18
Bilinguals= 18","French-Other","Not Present","not present","idk","Exposure","Present","Born to bilingual fam- ilies speaking French and one other language. The mothers of the bilingual infants reported speaking each language 40–60%","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","None","42","idk","hospital","Abboub, N., Nazzi, T., & Gervain, J. (2016). Prosodic grouping at birth. Brain and Language, 162, 46–59. https://doi.org/10.1016/j.bandl.2016.08.002","Abboub, N., Nazzi, T., & Gervain, J. (2016)","yes"
